id,engine_address,rri,from_state_version,babylon_resource_address
84,\x03980cda7c05ba3ad7024d42c363bf3a91ca804b7d51fe25c7c622,rcdog_rr1qwvqeknuqkar44czf4pvxcal82gu4qzt04glufw8cc3qt7nejs,55147679,resource_rdx1t4xcdwafyqcnwkaxz3uf7qqd5t5ung9c6uaasjfdf947gpks78zte0
85,\x037b8f0203934795accc5ff9224df512ee4e9132330f9d2a9abadb,rcoly_rr1qdac7qsrjdrettxvtlujyn04zthyayfjxv8e6256htdsxj9j6q,55151151,resource_rdx1t559c7lc4tnrckt74x898q9jfhspc4hkg7qcr95un6hz6z6v32mwlc
86,\x03f4722e29c661a0a4ecb84aa22504c4e45823cd3803a826969e2b,rcale_rr1q068yt3fces6pf8vhp92yfgycnj9sg7d8qp6sf5knc4swc7gvj,55151707,resource_rdx1t5aw4hpn9mclq3s96e67kjt843fyqv4pkcxdhgw2r5a3pn6hxnkrje
87,\x03239a32ae00fc72fe5b4689c37c82694dd2038c60514c1540a01f,rcnod_rr1qv3e5v4wqr789ljmg6yuxlyzd9xayquvvpg5c92q5q0s6d2sqv,55153495,resource_rdx1t55pw5w9qkv5q64g2n5nfsxr45gmcr057m6zmas2wa79anldpcn2lt
88,\x03268a63b13f343d1103dc8caea9db3b4b284e4fa8e17b104c4d79,rcbac_rr1qvng5ca38u6r6ygrmjx2a2wm8d9jsnj04rshkyzvf4usz3c0as,55158387,resource_rdx1t4lh03w26wljgcc4dretkls2q48tsktkrwfuzm4wuttrzz4f59c4qr
89,\x03c4008b5ef2de44e7495837c154048aa501220e757e5dfc496bbb,rctwi_rr1q0zqpz677t0yfe6ftqmuz4qy32jszgsww4l9mlzfdwas6azxlm,55159877,resource_rdx1tk4quurqdc8ggtt2tqr8wk0m0g3x9naeh6v4vra9w0xk3wccuw9gpu
90,\x03eca9bfcd6fb0a2e0cb072b48ffaca5720d28c80db2246d75e936,rcyou_rr1q0k2n07dd7c29cxtqu453lav54eq62xgpkezgmt4aymqgzzuf0,55160424,resource_rdx1thvxuw4maa9kcvgy6amk520sa05pt9jjvx2n4uuhaykhe0haapl0e4
91,\x03432a6c6ebf8bf013f40f62409a865d6c4a861398c61d63e6109d,rcrad_rr1qdpj5mrwh79lqyl5pa3ypx5xt4ky4psnnrrp6clxzzws0zhxwa,55161307,resource_rdx1t4d45vh6yr77vp26d4kwhk9cnxfv7v8wegef6d4ta55wgc9e9wgker
92,\x038b4620daa11e9c6f1d20f56fc5f88f0097d02ea03aafd2a0f688,rctok_rr1qw95vgx65y0fcmcayr6kl30c3uqf05pw5qa2l54q76yqkkyuug,55164238,resource_rdx1tktgaczym0e53acgndx5s4amjw70q3y4tyzqum7c0n8x0n5afwt8hq
93,\x03c7a771928c1aa83ca396b845dd99e1b190a18453db3ad969b1aa,rctel_rr1q0r6wuvj3sd2s09rj6uythveuxcepgvy20dn4ktfkx4q6flr8w,55165714,resource_rdx1thyd0n5j5vt539gdt65elnmjs3dmgq9vnewrk43hreqvvl0n5ve7cz
94,\x0340a7452afef5bf355423665250390d25a8230f02928fb58549f0,mafia_rr1qdq2w3f2lm6m7d25ydn9y5pep5j6sgc0q2fgldv9f8cqj76auf,55551437,resource_rdx1thed0ujgdk7wxlsxt0896mpd9lggadm7zlzc5r3pmu58qqflcrx362
95,\x032cc547f045fc2eee0c1868059e1f424c07461d6ed0828f4a2308,prescan_rr1qvkv23lsgh7zamsvrp5qt8slgfxqw3sadmgg9r62yvyq6ht3fa,55655814,resource_rdx1tkdye3lg9mgpkjk83d60h8f783gu2hdnq2x0mpz9j54j3euykupdee
